Customer ID,Age,Number of Dependents,Membership,Satisfaction Score,Tech services,Streaming services,Combined Product,Contract,Tenure in Months,Monthly Charge,Total Revenue,Churn Value
8779-QRDMV,78,0,None,2,1,1,2,Month-to-Month,1,39.65,59.65,1
7495-OOKFY,74,1,Offer E,5,1,0,1,Month-to-Month,8,80.65,1024.1,1
1658-BYGOY,71,3,Offer D,3,0,2,1,Month-to-Month,18,95.45,1910.88,1
4598-XLKNJ,78,1,Offer C,3,2,2,1,Month-to-Month,25,98.5,2995.07,1
4846-WHAFZ,80,1,Offer C,1,0,0,1,Month-to-Month,37,76.5,3102.36,1
4412-YLTKF,72,1,Offer C,1,1,0,1,Month-to-Month,27,78.05,2235.41,1
0390-DCFDQ,76,2,Offer E,1,0,0,1,Month-to-Month,1,70.45,85.73,1
3445-HXXGF,66,0,Offer B,4,2,1,2,Month-to-Month,58,45.3,2610.25,1
2656-FMOKZ,70,2,Offer D,3,0,0,1,Month-to-Month,15,74.45,1806.75,1
2070-FNEXE,77,2,Offer E,3,1,0,1,Month-to-Month,7,76.45,681.2,1
0094-OIFMO,78,1,Offer D,1,1,2,1,Month-to-Month,11,95,1367.79,1
9947-OTFQU,65,0,Offer D,5,1,0,1,Month-to-Month,15,74.4,1510.95,1
9514-JDSKI,77,0,Offer E,4,1,1,2,Month-to-Month,1,40.2,40.2,1
7273-TEFQD,67,0,Offer E,1,1,1,2,Month-to-Month,3,41.15,132.2,1
3606-TWKGI,68,0,Offer D,1,2,2,2,Month-to-Month,13,106.9,1799.14,1
4385-GZQXV,68,0,Offer D,1,1,2,1,Month-to-Month,16,94.45,1662.08,1
3488-PGMQJ,66,0,None,2,1,0,1,Month-to-Month,8,74.5,620.79,1
7534-BFESC,69,0,Offer C,3,0,0,1,Month-to-Month,24,76.1,2453.58,1
8098-LLAZX,74,0,Offer E,2,0,2,1,Month-to-Month,4,95.45,522.54,1
0265-EDXBD,76,0,Offer C,2,0,0,1,Month-to-Month,32,74.9,3818.23,1
2840-XANRC,77,0,Offer C,3,1,2,2,Month-to-Month,24,93.15,2617.45,1
5020-ZSTTY,70,0,Offer B,1,3,2,3,One Year,54,82.45,5002.42,1
5804-LEPIM,74,0,Offer E,2,0,0,1,Month-to-Month,2,70.35,165.39,1
0623-IIHUG,77,0,None,2,1,1,4,Month-to-Month,21,41.9,840.1,1
9057-MSWCO,71,0,None,3,1,0,4,Month-to-Month,27,30.75,945.1,1
4895-TMWIR,79,0,None,3,0,0,4,Month-to-Month,11,19.95,539.69,1
0533-BNWKF,66,0,Offer B,1,2,0,1,Month-to-Month,55,85.45,7319.8,1
0334-GDDSO,77,0,Offer E,3,1,0,1,Month-to-Month,3,81.35,261.36,1
5564-NEMQO,80,0,Offer E,3,1,0,1,Month-to-Month,1,75.3,130.39,1
6235-VDHOM,77,0,Offer E,1,1,0,2,Month-to-Month,5,28.45,131.05,1
5609-CEBID,77,0,None,3,2,1,1,Month-to-Month,20,94.1,2837,1
5956-VKDTT,72,0,Offer E,1,0,0,1,Month-to-Month,5,74.35,563.6,1
0257-ZESQC,80,0,None,1,1,0,2,Month-to-Month,27,75.2,2118.89,1
2865-TCHJW,74,0,None,5,1,1,2,Month-to-Month,4,89.2,539.6,1
