,Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Location ID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Service ID,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Status ID,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Gender_label,Under 30_label,Senior Citizen_label,Married_label,Dependents_label,Referred a Friend_label,Offer_label,Phone Service_label,Multiple Lines_label,Internet Service_label,Internet Type_label,Online Security_label,Online Backup_label,Device Protection Plan_label,Premium Tech Support_label,Streaming TV_label,Streaming Movies_label,Streaming Music_label,Unlimited Data_label,Contract_label,Paperless Billing_label,Payment Method_label,Customer Status_label,Churn Label_label,Churn Category_label,Churn Reason_label
0,8779-QRDMV,1,Male,78,No,Yes,No,No,0,OXCZEW7397,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,IJKDQVSWH3522,Q3,No,0,1,None,No,0.0,No,Yes,DSL,8,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,SWSORB1252,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,5
1,7495-OOKFY,1,Female,74,No,Yes,Yes,Yes,1,FCCECI8494,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,BFKMZJAIE2285,Q3,Yes,1,8,Offer E,Yes,48.85,Yes,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,SNAEQA8572,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer,0,0,1,1,1,1,5,1,1,1,2,0,1,0,0,0,0,0,1,0,1,1,0,1,1,3
2,1658-BYGOY,1,Male,71,No,Yes,No,Yes,3,HEHUQY7254,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,EIMVJQBMT7187,Q3,No,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,LMBQNN3714,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer,1,0,1,0,1,0,4,1,1,1,2,0,0,0,0,1,1,1,1,0,1,0,0,1,1,3
3,4598-XLKNJ,1,Female,78,No,Yes,Yes,Yes,1,WIUHRF2613,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,EROZQXDUU4979,Q3,Yes,1,25,Offer C,Yes,19.76,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,13.43,0,494.0,2995.07,VRZYZI9978,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services,0,0,1,1,1,1,3,1,0,1,2,0,1,1,0,1,1,0,1,0,1,0,0,1,2,11
4,4846-WHAFZ,1,Female,80,No,Yes,Yes,Yes,1,CFEZBF4415,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,GEEYSJUHY6991,Q3,Yes,1,37,Offer C,Yes,6.33,Yes,Yes,Fiber Optic,14,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,FDNAKX1688,2,Churned,Yes,1,67,2793,Price,Extra data charges,0,0,1,1,1,1,3,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,4,8
5,4412-YLTKF,1,Female,72,No,Yes,No,Yes,1,CWMLHA1936,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,UEHAPZRZX9455,Q3,No,0,27,Offer C,Yes,3.33,Yes,Yes,Fiber Optic,18,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,YZFIXL5823,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices,0,0,1,0,1,0,3,1,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2
6,0390-DCFDQ,1,Female,76,No,Yes,Yes,Yes,2,RMPDLY8613,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,HKSJPZQQO3668,Q3,Yes,1,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,KSGHEG1626,2,Churned,Yes,1,76,3964,Other,Don't know,0,0,1,1,1,1,5,1,0,1,2,0,0,0,0,0,0,0,1,0,1,2,0,1,3,7
7,3445-HXXGF,1,Male,66,No,Yes,Yes,No,0,AXYPBL9658,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,YURPJGXZE2352,Q3,Yes,6,58,Offer B,No,0.0,No,Yes,DSL,24,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,PABMTY8825,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction,1,0,1,1,0,1,2,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,2,19
8,2656-FMOKZ,1,Female,70,No,Yes,No,Yes,2,VFGAGY6957,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,SGNKYLZPV6432,Q3,No,0,15,Offer D,Yes,44.07,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,YAMNBI7178,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services,0,0,1,0,1,0,4,1,1,1,2,0,0,0,0,0,0,0,1,0,1,2,0,1,2,11
9,2070-FNEXE,1,Female,77,No,Yes,No,Yes,2,JSYCDZ4487,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,CQIFHUNEW9871,Q3,No,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,GIFMGB8144,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed,0,0,1,0,1,0,5,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,4,9
10,0094-OIFMO,1,Female,78,No,Yes,No,Yes,1,TXLVMF7264,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,XIOWKBRNN4393,Q3,No,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,UMEKHN2443,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction,0,0,1,0,1,0,4,1,0,1,2,0,1,0,0,1,1,0,0,0,1,0,0,1,2,18
11,9947-OTFQU,1,Male,65,No,Yes,No,No,0,ICTTCG9359,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,XOEPPWMTO9182,Q3,No,0,15,Offer D,Yes,29.11,No,Yes,Fiber Optic,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.95,YIPBAY5152,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices,1,0,1,0,0,0,4,1,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,1,1,2
12,9514-JDSKI,1,Male,77,No,Yes,Yes,No,0,HXBPUB8358,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,UGUIMLXCU8431,Q3,Yes,1,1,Offer E,No,0.0,No,Yes,DSL,12,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,YZFWSV3242,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services,1,0,1,1,0,1,5,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,2,11
13,7273-TEFQD,1,Male,67,No,Yes,No,No,0,XXRHYW1737,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,NBOGLPTZV7277,Q3,No,0,3,Offer E,No,0.0,No,Yes,DSL,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,MDETXO4922,2,Churned,Yes,1,96,2314,Price,Long distance charges,1,0,1,0,0,0,5,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,4,12
