Age,Age Group,Number of Dependents,Membership,Satisfaction Score,Tech services,Streaming services,Combined Product,Contract,Tenure in Months,Monthly Charge,Total Revenue,Churn Value
78,70,0,None,3,1,1,2,Month-to-Month,1,39.65,59.65,1
74,70,1,Offer E,3,1,0,4,Month-to-Month,8,80.65,1024.1,1
71,70,3,Offer D,2,0,2,4,Month-to-Month,18,95.45,1910.88,1
78,70,1,Offer C,2,2,2,4,Month-to-Month,25,98.5,2995.07,1
80,80,1,Offer C,2,0,0,4,Month-to-Month,37,76.5,3102.36,1
72,70,1,Offer C,1,1,0,4,Month-to-Month,27,78.05,2235.41,1
76,70,2,Offer E,2,0,0,4,Month-to-Month,1,70.45,85.73,1
66,60,0,Offer B,1,2,1,2,Month-to-Month,58,45.3,2610.25,1
70,70,2,Offer D,2,0,0,4,Month-to-Month,15,74.45,1806.75,1
77,70,2,Offer E,2,1,0,4,Month-to-Month,7,76.45,681.2,1
78,70,1,Offer D,1,1,2,4,Month-to-Month,11,95,1367.79,1
65,60,0,Offer D,1,1,0,4,Month-to-Month,15,74.4,1510.95,1
77,70,0,Offer E,2,1,1,2,Month-to-Month,1,40.2,40.2,1
67,60,0,Offer E,2,1,1,2,Month-to-Month,3,41.15,132.2,1
68,60,0,Offer D,1,2,2,2,Month-to-Month,13,106.9,1799.14,1
68,60,0,Offer D,1,1,2,4,Month-to-Month,16,94.45,1662.08,1
66,60,0,None,2,1,0,4,Month-to-Month,8,74.5,620.79,1
69,60,0,Offer C,2,0,0,4,Month-to-Month,24,76.1,2453.58,1
74,70,0,Offer E,3,0,2,4,Month-to-Month,4,95.45,522.54,1
76,70,0,Offer C,2,0,0,4,Month-to-Month,32,74.9,3818.23,1
77,70,0,Offer C,2,1,2,2,Month-to-Month,24,93.15,2617.45,1
70,70,0,Offer B,1,3,2,3,One Year,54,82.45,5002.42,1
74,70,0,Offer E,3,0,0,4,Month-to-Month,2,70.35,165.39,1
77,70,0,None,1,1,1,1,Month-to-Month,21,41.9,840.1,1
71,70,0,None,1,1,0,1,Month-to-Month,27,30.75,945.1,1
79,70,0,None,1,0,0,1,Month-to-Month,11,19.95,539.69,1
66,60,0,Offer B,1,2,0,4,Month-to-Month,55,85.45,7319.8,1
77,70,0,Offer E,1,1,0,4,Month-to-Month,3,81.35,261.36,1
80,80,0,Offer E,2,1,0,4,Month-to-Month,1,75.3,130.39,1
77,70,0,Offer E,2,1,0,2,Month-to-Month,5,28.45,131.05,1
77,70,0,None,1,2,1,4,Month-to-Month,20,94.1,2837,1
72,70,0,Offer E,1,0,0,4,Month-to-Month,5,74.35,563.6,1
80,80,0,None,1,1,0,2,Month-to-Month,27,75.2,2118.89,1
74,70,0,None,1,1,1,2,Month-to-Month,4,89.2,539.6,1
68,60,0,None,1,0,1,4,Month-to-Month,1,85.7,131.51,1
78,70,0,Offer B,1,2,2,4,Month-to-Month,65,105.25,7981.75,1
75,70,0,Offer B,2,1,1,4,Month-to-Month,49,90.05,5670.33,1
77,70,0,Offer B,2,3,2,4,Month-to-Month,43,110.75,5312.26,1
80,80,0,Offer B,1,2,2,4,One Year,56,104.55,8527.45,1
75,70,0,None,1,0,2,4,Month-to-Month,20,94.55,2005.85,1
69,60,0,None,2,1,1,4,Month-to-Month,2,89.5,256.44,1
74,70,0,None,2,0,0,1,Month-to-Month,8,19.65,387.9,1
76,70,0,None,2,1,2,2,Month-to-Month,52,49.15,2580.9,1
69,60,0,None,2,1,0,3,Month-to-Month,2,49.25,179.08,1
72,70,0,None,3,0,2,4,Month-to-Month,33,94.5,4022.29,1
69,60,0,None,1,3,0,4,Month-to-Month,30,91.7,4134.55,1
73,70,0,None,3,1,2,4,Month-to-Month,20,98.55,2851.6,1
65,60,0,None,1,3,2,4,One Year,46,110,4983.82,1
74,70,0,None,3,0,2,2,Month-to-Month,7,95.6,797.72,1
65,60,0,None,3,0,1,4,Month-to-Month,4,78.85,440.52,1
66,60,0,None,3,1,2,4,One Year,55,100,7665.2,1
71,70,0,None,1,1,0,4,Month-to-Month,20,73.65,1570.9,1
65,60,0,None,1,1,2,4,Month-to-Month,9,100.5,1356.99,1
69,60,0,None,1,1,0,4,Month-to-Month,10,72.85,773.25,1
75,70,0,None,2,0,0,4,Month-to-Month,1,73.55,110.47,1
75,70,0,None,1,1,0,4,Month-to-Month,3,79.4,330.75,1
