,Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Service ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Status ID,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason,Joined Date
0,8779-QRDMV,0,78,0,1,0,0,0,IJKDQVSWH3522,0,0,1,0,0,0.0,0,1,2,8,0,0,1,0,0,1,0,0,0,1,0,39.65,39.65,0.0,20,0.0,59.65,SWSORB1252,3,1,Yes,1,91,5433,1,Competitor offered more data,2015-03-03
1,7495-OOKFY,1,74,0,1,1,1,1,BFKMZJAIE2285,1,1,8,5,1,48.85,1,1,1,17,0,1,0,0,0,0,0,1,0,1,1,80.65,633.3,0.0,0,390.8,1024.1,SNAEQA8572,3,1,Yes,1,69,5302,1,Competitor made better offer,2021-06-10
2,1658-BYGOY,0,71,0,1,0,1,3,EIMVJQBMT7187,0,0,18,4,1,11.33,1,1,1,52,0,0,0,0,1,1,1,1,0,1,0,95.45,1752.55,45.61,0,203.94,1910.88,LMBQNN3714,2,1,Yes,1,81,3179,1,Competitor made better offer,2014-12-27
3,4598-XLKNJ,1,78,0,1,1,1,1,EROZQXDUU4979,1,1,25,3,1,19.76,0,1,1,12,0,1,1,0,1,1,0,1,0,1,0,98.5,2514.5,13.43,0,494.0,2995.07,VRZYZI9978,2,1,Yes,1,88,5337,3,Limited range of services,2017-01-09
4,4846-WHAFZ,1,80,0,1,1,1,1,GEEYSJUHY6991,1,1,37,3,1,6.33,1,1,1,14,0,0,0,0,0,0,0,1,0,1,0,76.5,2868.15,0.0,0,234.21,3102.36,FDNAKX1688,2,1,Yes,1,67,2793,4,Extra data charges,2012-02-21
5,4412-YLTKF,1,72,0,1,0,1,1,UEHAPZRZX9455,0,0,27,3,1,3.33,1,1,1,18,0,0,1,0,0,0,0,0,0,1,0,78.05,2135.5,0.0,10,89.91,2235.41,YZFIXL5823,1,1,Yes,1,95,4638,1,Competitor had better devices,2021-01-28
6,0390-DCFDQ,1,76,0,1,1,1,2,HKSJPZQQO3668,1,1,1,5,1,15.28,0,1,1,30,0,0,0,0,0,0,0,1,0,1,2,70.45,70.45,0.0,0,15.28,85.73,KSGHEG1626,2,1,Yes,1,76,3964,5,Don't know,2021-11-19
7,3445-HXXGF,0,66,0,1,1,0,0,YURPJGXZE2352,1,6,58,2,0,0.0,0,1,2,24,0,1,1,0,0,1,0,1,0,1,0,45.3,2651.2,40.95,0,0.0,2610.25,PABMTY8825,1,1,Yes,1,91,5444,3,Service dissatisfaction,2013-12-02
8,2656-FMOKZ,1,70,0,1,0,1,2,SGNKYLZPV6432,0,0,15,4,1,44.07,1,1,1,19,0,0,0,0,0,0,0,1,0,1,2,74.45,1145.7,0.0,0,661.05,1806.75,YAMNBI7178,2,1,Yes,1,91,5717,3,Limited range of services,2017-11-10
9,2070-FNEXE,1,77,0,1,0,1,2,CQIFHUNEW9871,0,0,7,5,1,26.95,0,1,1,18,1,0,0,0,0,0,0,0,0,0,0,76.45,503.6,11.05,0,188.65,681.2,GIFMGB8144,2,1,Yes,1,81,4419,4,Lack of affordable download/upload speed,2012-06-29
10,0094-OIFMO,1,78,0,1,0,1,1,XIOWKBRNN4393,0,0,11,4,1,11.59,0,1,1,29,0,1,0,0,1,1,0,0,0,1,0,95.0,1120.3,0.0,120,127.49,1367.79,UMEKHN2443,1,1,Yes,1,85,5980,3,Product dissatisfaction,2017-10-05
11,9947-OTFQU,0,65,0,1,0,0,0,XOEPPWMTO9182,0,0,15,4,1,29.11,0,1,1,29,0,1,0,0,0,0,0,1,0,1,0,74.4,1074.3,0.0,0,436.65,1510.95,YIPBAY5152,1,1,Yes,1,86,4616,1,Competitor had better devices,2014-06-20
12,9514-JDSKI,0,77,0,1,1,0,0,UGUIMLXCU8431,1,1,1,5,0,0.0,0,1,2,12,0,1,0,0,1,0,0,1,0,0,0,40.2,40.2,0.0,0,0.0,40.2,YZFWSV3242,2,1,Yes,1,65,5828,3,Limited range of services,2021-10-31
13,7273-TEFQD,0,67,0,1,0,0,0,NBOGLPTZV7277,0,0,3,5,0,0.0,0,1,2,28,0,0,1,0,0,1,1,1,0,1,0,41.15,132.2,0.0,0,0.0,132.2,MDETXO4922,2,1,Yes,1,96,2314,4,Long distance charges,2016-07-10
14,3606-TWKGI,0,68,0,1,0,0,0,YOBKZFGVQ5899,0,0,13,4,1,32.68,1,1,3,11,0,1,1,0,1,1,0,0,0,1,0,106.9,1364.3,0.0,10,424.84,1799.14,BEGOJN9758,1,1,Yes,1,84,2494,1,Competitor had better devices,2020-12-13
15,4385-GZQXV,1,68,0,1,0,0,0,VHJDHJCGG5893,0,0,16,4,1,9.43,0,1,1,9,0,0,0,1,1,1,1,1,0,1,0,94.45,1511.2,0.0,0,150.88,1662.08,JLJPDE1341,1,1,Yes,1,81,3810,1,Competitor had better devices,2016-04-27
16,3488-PGMQJ,0,66,0,1,0,0,0,HXMLQEOHF5921,0,0,8,0,1,1.78,0,1,1,7,0,1,0,0,0,0,0,1,0,1,0,74.5,606.55,0.0,0,14.24,620.79,OHPSLR4475,2,1,Yes,1,80,4345,3,Poor expertise of online support,2021-03-29
17,7534-BFESC,0,69,0,1,0,0,0,WWYEWXVSH6917,0,0,24,3,1,30.87,1,1,1,15,0,0,0,0,0,0,0,1,0,1,0,76.1,1712.7,0.0,0,740.88,2453.58,GQOQWC2393,2,1,Yes,1,91,2018,1,Competitor made better offer,2015-12-20
18,8098-LLAZX,1,74,0,1,0,0,0,OSQCMMHHH1332,0,0,4,5,1,31.61,1,1,1,2,0,0,0,0,1,1,0,1,0,1,0,95.45,396.1,0.0,0,126.44,522.54,OFKDMH9951,3,1,Yes,1,85,3677,1,Competitor made better offer,2015-05-12
19,0265-EDXBD,0,76,0,1,1,0,0,FZQAVWHSH9565,1,2,32,3,1,47.34,1,1,1,10,0,0,0,0,0,0,0,1,0,1,0,74.9,2303.35,0.0,0,1514.88,3818.23,GHCFVK8885,2,1,Yes,1,69,4105,2,Attitude of support person,2012-11-09
20,2840-XANRC,0,77,0,1,1,0,0,PLOCHMGQJ6697,1,1,24,3,1,16.1,0,1,3,12,0,0,1,0,1,1,1,1,0,1,0,93.15,2231.05,0.0,0,386.4,2617.45,DSIMCQ4621,2,1,Yes,1,73,2212,1,Competitor made better offer,2019-02-24
21,5020-ZSTTY,1,70,0,1,0,0,0,XNJUYZUTW5958,0,0,54,2,1,12.08,1,1,2,5,1,1,0,1,1,1,1,1,1,0,0,82.45,4350.1,0.0,0,652.32,5002.42,DHXVBL4276,1,1,Yes,1,83,4149,1,Competitor made better offer,2019-04-06
22,5804-LEPIM,1,74,0,1,0,0,0,ATPTIBSWE9432,0,0,2,5,1,13.17,0,1,1,10,0,0,0,0,0,0,0,1,0,1,0,70.35,139.05,0.0,0,26.34,165.39,ZIEQWD5744,3,1,Yes,1,73,2671,5,Don't know,2016-10-12
23,0623-IIHUG,1,77,0,1,0,0,0,WIKKPUBDD5531,0,0,21,0,0,0.0,0,1,3,8,1,0,0,0,1,0,0,1,0,1,0,41.9,840.1,0.0,0,0.0,840.1,GQQMMS7744,1,1,Yes,1,90,4778,1,Competitor made better offer,2016-08-28
24,9057-MSWCO,0,71,0,1,1,0,0,TKRBOHAOA4185,0,0,27,0,0,0.0,0,1,3,13,1,0,0,0,0,0,0,0,0,0,1,30.75,805.1,0.0,140,0.0,945.1,GUGTBO6929,1,1,Yes,1,91,2927,1,Competitor made better offer,2020-09-11
25,4895-TMWIR,0,79,0,1,1,0,0,OGTGVNIAI7862,1,1,11,0,1,29.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19.95,214.75,0.0,0,324.94,539.69,OEYWPL2828,1,1,Yes,1,80,5888,1,Competitor made better offer,2019-04-24
26,0533-BNWKF,1,66,0,1,1,0,0,CEAETMXKC1258,1,2,55,2,1,42.82,1,1,1,27,0,1,1,0,0,0,0,0,0,1,0,85.45,4874.7,0.0,90,2355.1,7319.8,NMPICW5172,1,1,Yes,1,91,5502,1,Competitor made better offer,2014-09-05
27,0334-GDDSO,0,77,0,1,0,0,0,HXAWDMKNC7727,0,0,3,5,1,9.22,1,1,1,14,0,1,0,0,0,0,0,1,0,1,0,81.35,233.7,0.0,0,27.66,261.36,LCTGJR7639,1,1,Yes,1,73,2818,1,Competitor made better offer,2015-01-29
28,5564-NEMQO,1,80,0,1,0,0,0,RHOKWKGPI1159,0,0,1,5,1,35.09,0,1,1,17,0,0,1,0,0,0,0,0,0,1,0,75.3,75.3,0.0,20,35.09,130.39,EFSJFW2561,2,1,Yes,1,67,4902,3,Network reliability,2017-10-16
29,6235-VDHOM,1,77,0,1,0,0,0,HWTSHHROX7538,0,0,5,5,0,0.0,0,1,2,26,0,1,0,0,0,0,0,1,0,0,0,28.45,131.05,0.0,0,0.0,131.05,UNLRRA7673,2,1,Yes,1,89,4099,3,Limited range of services,2022-01-18
30,5609-CEBID,1,77,0,1,0,0,0,PAOHKXQGG8796,0,0,20,0,1,48.73,1,1,1,12,0,1,1,0,0,1,0,0,0,1,0,94.1,1782.4,0.0,80,974.6,2837.0,WQCCWE6768,1,1,Yes,1,87,2666,1,Competitor had better devices,2013-06-23
31,5956-VKDTT,1,72,0,1,1,0,0,IAGYVDOMQ4746,1,4,5,5,1,45.76,1,1,1,22,0,0,0,0,0,0,0,1,0,1,0,74.35,334.8,0.0,0,228.8,563.6,QTRLCS8221,1,1,Yes,1,82,5273,3,Product dissatisfaction,2021-10-30
32,0257-ZESQC,1,80,0,1,1,0,0,BKPCFHKQJ2592,1,2,27,0,1,7.02,0,1,3,25,1,0,0,0,0,0,0,1,0,1,0,75.2,1929.35,0.0,0,189.54,2118.89,LGNAAI6835,1,1,Yes,1,91,4517,2,Attitude of support person,2018-03-30
33,2865-TCHJW,1,74,0,1,0,0,0,PYCXBVFEW4691,0,0,4,0,1,48.35,1,1,3,24,0,0,1,0,1,0,0,1,0,1,0,89.2,346.2,0.0,0,193.4,539.6,QVCKEA1534,1,1,Yes,1,74,5808,1,Competitor had better devices,2022-01-08
34,5192-EBGOV,1,68,0,1,0,0,0,URLOXFYPV4252,0,0,1,0,1,45.81,1,1,1,21,0,0,0,0,1,0,0,1,0,1,0,85.7,85.7,0.0,0,45.81,131.51,RINVCK3782,1,1,Yes,1,66,4880,1,Competitor had better devices,2019-12-30
35,3419-SNJJD,1,78,0,1,1,0,0,LTNYKEMKS4853,1,3,65,2,1,18.39,1,1,1,28,1,0,1,0,1,1,0,1,0,0,0,105.25,6786.4,0.0,0,1195.35,7981.75,WZSVYG6552,1,1,Yes,1,91,4196,2,Attitude of support person,2015-10-27
