Customer ID,Dependents,Under 30,Monthly Charge,Total Revenue,Tenure in Months,Internet Service,Device Protection Plan,Unlimited Data,Streaming Movies,Contract Date,Contract Period,Churn Label,Churn Score,Forecast Period
8779-QRDMV,0,0,39.65,59.65,1,1,1,0,1,2023-08-14,47,1,91,47.0
7495-OOKFY,1,0,80.65,1024.1,8,1,0,1,0,2023-02-04,238,1,69,238.0
1658-BYGOY,1,0,95.45,1910.88,18,1,0,1,1,2022-04-20,528,1,81,528.0
4598-XLKNJ,1,0,98.5,2995.07,25,1,1,1,1,2021-09-10,750,1,88,750.0
4846-WHAFZ,1,0,76.5,3102.36,37,1,0,1,0,2020-09-25,1100,1,67,1100.0
4412-YLTKF,1,0,78.05,2235.41,27,1,1,0,0,2021-07-11,811,1,95,811.0
0390-DCFDQ,1,0,70.45,85.73,1,1,0,1,0,2023-08-24,37,1,76,37.0
3445-HXXGF,0,0,45.3,2610.25,58,1,1,1,1,2018-12-22,1743,1,91,1743.0
2656-FMOKZ,1,0,74.45,1806.75,15,1,0,1,0,2022-07-20,437,1,91,437.0
2070-FNEXE,1,0,76.45,681.2,7,1,0,0,0,2023-03-23,191,1,81,191.0
0094-OIFMO,1,0,95.0,1367.79,11,1,0,0,1,2022-11-08,326,1,85,326.0
9947-OTFQU,0,0,74.4,1510.95,15,1,0,1,0,2022-07-15,442,1,86,442.0
9514-JDSKI,0,0,40.2,40.2,1,1,0,1,0,2023-08-19,42,1,65,42.0
7273-TEFQD,0,0,41.15,132.2,3,1,1,1,1,2023-07-08,84,1,96,84.0
3606-TWKGI,0,0,106.9,1799.14,13,1,1,0,1,2022-09-22,373,1,84,373.0
4385-GZQXV,0,0,94.45,1662.08,16,1,0,1,1,2022-06-08,479,1,81,479.0
3488-PGMQJ,0,0,74.5,620.79,8,1,0,1,0,2023-02-23,219,1,80,219.0
7534-BFESC,0,0,76.1,2453.58,24,1,0,1,0,2021-10-18,712,1,91,712.0
8098-LLAZX,0,0,95.45,522.54,4,1,0,1,1,2023-06-23,99,1,85,99.0
0265-EDXBD,0,0,74.9,3818.23,32,1,0,1,0,2021-02-11,961,1,69,961.0
2840-XANRC,0,0,93.15,2617.45,24,1,1,1,1,2021-10-28,702,1,73,702.0
5020-ZSTTY,0,0,82.45,5002.42,54,1,0,1,1,2019-04-23,1621,1,83,1621.0
5804-LEPIM,0,0,70.35,165.39,2,1,0,1,0,2023-08-19,42,1,73,42.0
0623-IIHUG,0,0,41.9,840.1,21,1,0,1,0,2022-01-23,615,1,90,615.0
9057-MSWCO,0,0,30.75,945.1,27,1,0,0,0,2021-07-09,813,1,91,813.0
4895-TMWIR,0,0,19.95,539.69,11,0,0,0,0,2022-11-16,318,1,80,318.0
0533-BNWKF,0,0,85.45,7319.8,55,1,1,0,0,2019-03-16,1659,1,91,1659.0
0334-GDDSO,0,0,81.35,261.36,3,1,0,1,0,2023-07-06,86,1,73,86.0
