Customer ID,Dependents,Under 30,Monthly Charge,Total Revenue,Tenure in Months,Internet Service,Device Protection Plan,Unlimited Data,Streaming Movies,Contract Date,Contract Period,Churn Label,Churn Score
8779-QRDMV,0,0,39.65,59.65,1,1,1,0,1,2023-08-14,47,1,91
7495-OOKFY,1,0,80.65,1024.1,8,1,0,1,0,2023-02-04,238,1,69
1658-BYGOY,1,0,95.45,1910.88,18,1,0,1,1,2022-04-20,528,1,81
4598-XLKNJ,1,0,98.5,2995.07,25,1,1,1,1,2021-09-10,750,1,88
4846-WHAFZ,1,0,76.5,3102.36,37,1,0,1,0,2020-09-25,1100,1,67
4412-YLTKF,1,0,78.05,2235.41,27,1,1,0,0,2021-07-11,811,1,95
0390-DCFDQ,1,0,70.45,85.73,1,1,0,1,0,2023-08-24,37,1,76
3445-HXXGF,0,0,45.3,2610.25,58,1,1,1,1,2018-12-22,1743,1,91
2656-FMOKZ,1,0,74.45,1806.75,15,1,0,1,0,2022-07-20,437,1,91
2070-FNEXE,1,0,76.45,681.2,7,1,0,0,0,2023-03-23,191,1,81
0094-OIFMO,1,0,95.0,1367.79,11,1,0,0,1,2022-11-08,326,1,85
9947-OTFQU,0,0,74.4,1510.95,15,1,0,1,0,2022-07-15,442,1,86
9514-JDSKI,0,0,40.2,40.2,1,1,0,1,0,2023-08-19,42,1,65
7273-TEFQD,0,0,41.15,132.2,3,1,1,1,1,2023-07-08,84,1,96
3606-TWKGI,0,0,106.9,1799.14,13,1,1,0,1,2022-09-22,373,1,84
4385-GZQXV,0,0,94.45,1662.08,16,1,0,1,1,2022-06-08,479,1,81
3488-PGMQJ,0,0,74.5,620.79,8,1,0,1,0,2023-02-23,219,1,80
7534-BFESC,0,0,76.1,2453.58,24,1,0,1,0,2021-10-18,712,1,91
8098-LLAZX,0,0,95.45,522.54,4,1,0,1,1,2023-06-23,99,1,85
0265-EDXBD,0,0,74.9,3818.23,32,1,0,1,0,2021-02-11,961,1,69
2840-XANRC,0,0,93.15,2617.45,24,1,1,1,1,2021-10-28,702,1,73
5020-ZSTTY,0,0,82.45,5002.42,54,1,0,1,1,2019-04-23,1621,1,83
5804-LEPIM,0,0,70.35,165.39,2,1,0,1,0,2023-08-19,42,1,73
0623-IIHUG,0,0,41.9,840.1,21,1,0,1,0,2022-01-23,615,1,90
9057-MSWCO,0,0,30.75,945.1,27,1,0,0,0,2021-07-09,813,1,91
4895-TMWIR,0,0,19.95,539.69,11,0,0,0,0,2022-11-16,318,1,80
0533-BNWKF,0,0,85.45,7319.8,55,1,1,0,0,2019-03-16,1659,1,91
0334-GDDSO,0,0,81.35,261.36,3,1,0,1,0,2023-07-06,86,1,73
5564-NEMQO,0,0,75.3,130.39,1,1,1,0,0,2023-08-11,50,1,67
6235-VDHOM,0,0,28.45,131.05,5,1,0,1,0,2023-05-20,133,1,89
5609-CEBID,0,0,94.1,2837.0,20,1,1,0,1,2022-02-26,581,1,87
5956-VKDTT,0,0,74.35,563.6,5,1,0,1,0,2023-05-12,141,1,82
0257-ZESQC,0,0,75.2,2118.89,27,1,0,1,0,2021-07-24,798,1,91
2865-TCHJW,0,0,89.2,539.6,4,1,1,1,0,2023-06-18,104,1,74
5192-EBGOV,0,0,85.7,131.51,1,1,0,1,0,2023-08-06,55,1,66
3419-SNJJD,0,0,105.25,7981.75,65,1,1,1,1,2018-05-15,1964,1,91
4554-YGZIH,0,0,90.05,5670.33,49,1,0,1,1,2019-09-05,1486,1,96
5099-BAILX,0,0,110.75,5312.26,43,1,1,1,1,2020-03-04,1305,1,65
4913-EHYUI,0,0,104.55,8527.45,56,1,1,1,1,2019-02-23,1680,1,91
1626-ERCMM,0,0,94.55,2005.85,20,1,0,1,1,2022-02-20,587,1,84
5644-PDMZC,0,0,89.5,256.44,2,1,0,1,1,2023-08-14,47,1,80
4160-AMJTL,0,0,19.65,387.9,8,0,0,0,0,2023-02-28,214,1,83
0823-HSCDJ,0,0,49.15,2580.9,52,1,0,0,1,2019-06-26,1557,1,90
0067-DKWBL,0,0,49.25,179.08,2,1,0,1,0,2023-08-11,50,1,95
5244-IRFIH,0,0,94.5,4022.29,33,1,0,1,1,2021-01-26,977,1,91
2684-EIWEO,0,0,91.7,4134.55,30,1,1,1,0,2021-04-09,904,1,90
6683-VLCTZ,0,0,98.55,2851.6,20,1,1,0,1,2022-02-02,605,1,92
0691-IFBQW,0,0,110.0,4983.82,46,1,1,1,1,2019-12-14,1386,1,81
3643-AHCFP,0,0,95.6,797.72,7,1,0,1,1,2023-03-19,195,1,83
9231-ZJYAM,0,0,78.85,440.52,4,1,0,1,0,2023-06-15,107,1,72
0727-BMPLR,0,0,100.0,7665.2,55,1,1,0,1,2019-03-25,1650,1,83
0947-MUGVO,0,0,73.65,1570.9,20,1,0,1,0,2022-02-14,593,1,95
0781-LKXBR,0,0,100.5,1356.99,9,1,1,1,1,2023-01-03,270,1,70
1907-UBQFC,0,0,72.85,773.25,10,1,0,0,0,2022-12-01,303,1,91
6513-EECDB,0,0,73.55,110.47,1,1,0,1,0,2023-08-18,43,1,94
7074-IEVOJ,0,0,79.4,330.75,3,1,0,1,0,2023-07-23,69,1,91
4750-ZRXIU,0,0,84.6,386.82,4,1,0,1,1,2023-06-09,113,1,83
7028-DVOIQ,0,0,99.05,4244.85,35,1,1,0,1,2020-11-03,1061,1,82
4208-UFFGW,0,0,44.95,138.39,2,1,0,1,0,2023-08-03,58,1,84
9889-TMAHG,0,0,100.3,924.91,8,1,0,1,1,2023-02-19,223,1,74
8919-FYFQZ,0,0,30.35,1359.7,44,1,0,1,0,2020-02-06,1332,1,96
6646-QVXLR,0,0,103.75,6824.17,62,1,1,1,1,2018-08-10,1877,1,91
9369-XFEHK,0,0,80.6,3751.77,33,1,0,1,0,2021-01-10,993,1,72
1374-DMZUI,0,0,94.3,622.45,4,1,0,1,1,2023-06-15,107,1,91
1989-PRJHP,0,0,75.5,2180.15,27,1,0,1,0,2021-07-10,812,1,65
4822-RVYBB,0,0,100.6,1143.0,8,1,1,1,1,2023-02-23,219,1,90
4184-TJFAN,0,0,88.3,351.06,3,1,0,1,0,2023-07-02,90,1,68
4145-UQXUQ,0,0,92.1,1073.39,8,1,1,1,1,2023-02-11,231,1,81
1236-WFCDV,0,0,90.45,1424.44,14,1,0,1,1,2022-08-22,404,1,96
1271-SJBGZ,0,0,43.65,526.95,12,1,1,1,1,2022-10-04,361,1,74
4441-NIHPT,0,0,74.3,1465.16,13,1,1,1,0,2022-09-17,378,1,90
8999-BOHSE,0,0,89.7,1091.26,11,1,0,1,1,2022-11-21,313,1,89
7029-RPUAV,0,0,100.45,2101.51,17,1,1,1,1,2022-05-27,491,1,87
8111-SLLHI,0,0,105.65,5581.55,39,1,1,1,1,2020-07-20,1167,1,96
5293-WXJAK,0,0,104.05,1323.4,11,1,1,1,1,2022-11-07,327,1,82
4086-YQSNZ,0,0,80.4,233.92,3,1,0,1,0,2023-07-21,71,1,89
8399-YNDCH,0,0,60.05,1963.17,21,1,1,1,0,2022-01-05,633,1,70
5565-FILXA,0,0,96.15,2149.2,16,1,0,1,1,2022-06-13,474,1,96
4187-CINZD,0,0,95.25,4706.18,46,1,0,1,1,2019-12-18,1382,1,90
6818-WOBHJ,0,0,89.6,7768.44,68,1,0,1,1,2018-02-24,2044,1,69
9134-CEQMF,0,0,89.5,772.11,7,1,0,1,1,2023-03-26,188,1,89
8519-IMDHU,0,0,85.6,2024.3,15,1,0,1,1,2022-07-04,453,1,83
3372-KWFBM,0,0,86.6,1587.88,16,1,0,1,0,2022-06-04,483,1,81
7206-GZCDC,0,0,69.25,98.93,1,1,0,1,0,2023-08-05,56,1,75
1768-ZAIFU,0,0,25.2,25.2,1,1,0,1,0,2023-08-20,41,1,67
3793-MMFUH,0,0,95.05,1537.39,13,1,0,1,1,2022-09-27,368,1,90
6567-HOOPW,0,0,79.2,99.26,1,1,0,1,0,2023-08-03,58,1,76
8621-MNIHH,0,0,94.25,3315.47,34,1,1,1,1,2020-12-08,1026,1,88
5419-CONWX,0,0,99.8,493.57,4,1,1,1,1,2023-06-24,98,1,89
7024-OHCCK,0,0,93.85,209.39,2,1,0,1,1,2023-08-11,50,1,72
5357-TZHPP,0,0,84.4,1009.7,9,1,0,1,1,2023-01-14,259,1,83
0506-LVNGN,0,0,75.55,561.3,5,1,1,1,0,2023-05-08,145,1,90
9809-IMGCQ,0,0,96.7,3066.91,22,1,0,0,1,2021-12-17,652,1,93
3254-YRILK,0,0,88.2,2535.23,19,1,0,1,0,2022-03-12,567,1,69
0529-ONKER,0,0,75.65,1842.35,15,1,0,1,0,2022-07-03,454,1,96
5240-IJOQT,0,0,74.7,86.04,1,1,0,1,0,2023-08-14,47,1,88
0661-XEYAN,0,0,25.8,45.8,1,1,0,0,0,2023-08-06,55,1,90
2660-EMUBI,0,0,95.35,1312.05,10,1,0,1,1,2022-12-09,295,1,75
7675-OZCZG,0,0,45.0,227.52,3,1,0,0,0,2023-07-18,74,1,77
9391-EOYLI,0,0,80.45,1033.84,12,1,0,1,1,2022-10-20,345,1,69
2761-OCIAX,0,0,74.7,178.42,2,1,0,1,0,2023-08-13,48,1,81
3068-OMWZA,0,0,88.8,148.4,1,1,1,0,0,2023-08-21,40,1,91
4154-AQUGT,0,0,89.05,1188.46,13,1,0,1,1,2022-09-12,383,1,82
8017-LXHFA,0,0,94.75,3010.51,23,1,0,1,1,2021-11-13,686,1,95
4248-QPAVC,0,0,85.35,2089.39,17,1,1,1,0,2022-05-27,491,1,90
4690-LLKUA,0,0,45.05,1466.41,17,1,0,1,0,2022-05-23,495,1,93
9490-DFPMD,0,0,84.65,3941.61,42,1,0,1,0,2020-04-08,1270,1,90
8580-AECUZ,0,0,79.1,121.4,1,1,0,1,0,2023-08-05,56,1,92
5047-LHVLY,0,0,50.15,89.93,1,1,1,1,0,2023-08-08,53,1,91
8375-DKEBR,0,0,69.6,104.11,1,1,0,1,0,2023-08-03,58,1,96
7279-BUYWN,0,0,113.2,5835.45,41,1,1,1,1,2020-05-11,1237,1,89
7156-MHUGY,0,0,90.5,1650.74,13,1,0,0,1,2022-09-14,381,1,76
9606-PBKBQ,0,0,85.0,2784.16,32,1,0,1,1,2021-02-21,951,1,94
3536-IQCTX,0,0,85.3,4248.3,32,1,0,1,1,2021-02-02,970,1,75
3132-TVFDZ,0,0,44.85,2560.88,57,1,0,1,1,2019-01-12,1722,1,82
8080-DDEMJ,0,0,45.1,60.38,1,1,0,1,0,2023-08-08,53,1,79
6702-OHFWR,0,0,43.3,43.3,1,1,1,1,1,2023-08-24,37,1,91
4510-PYUSH,0,0,57.15,3242.45,38,1,0,1,0,2020-08-13,1143,1,75
8840-DQLGN,0,0,100.5,4212.65,35,1,0,1,0,2020-11-19,1045,1,81
4193-ORFCL,0,0,45.1,60.34,1,1,0,1,0,2023-08-01,60,1,70
7776-QWNFX,0,0,50.4,1667.0,30,1,0,1,0,2021-04-07,906,1,83
6689-TCZHQ,0,0,78.95,439.75,5,1,0,1,1,2023-05-28,125,1,65
9497-QCMMS,0,0,93.55,123.72,1,1,0,1,1,2023-08-01,60,1,81
3424-NMNBO,0,0,108.85,9151.29,58,1,1,1,1,2018-12-12,1753,1,91
4514-GFCFI,0,0,84.75,1630.31,16,1,0,1,0,2022-06-08,479,1,91
8000-REIQB,0,0,69.95,102.45,1,1,0,0,0,2023-08-27,34,1,94
4795-KTRTH,0,0,81.0,577.41,5,1,0,0,0,2023-05-03,150,1,91
9961-JBNMK,0,0,96.8,2907.77,21,1,1,1,1,2022-01-13,625,1,87
6179-GJPSO,0,0,108.15,5969.39,43,1,0,1,1,2020-03-01,1308,1,86
8290-YWKHZ,0,0,93.2,3992.8,32,1,0,1,1,2021-02-27,945,1,90
8051-HJRLT,0,0,70.55,88.75,1,1,0,1,0,2023-08-21,40,1,82
4021-RQSNY,0,0,98.5,3754.22,29,1,1,0,1,2021-05-05,878,1,72
9061-TIHDA,0,0,95.25,1597.66,13,1,0,1,1,2022-09-05,390,1,90
8699-ASUFO,0,0,74.4,557.88,7,1,0,1,0,2023-03-22,192,1,96
4695-WJZUE,0,0,88.55,222.39,2,1,1,1,1,2023-08-06,55,1,80
3988-RQIXO,0,0,91.3,134.91,1,1,0,1,1,2023-08-05,56,1,71
5931-FLJJF,0,0,70.1,559.67,7,1,0,1,0,2023-03-23,191,1,83
3207-OYBWH,0,0,95.25,8259.33,57,1,1,1,1,2019-01-06,1728,1,86
7216-EWTRS,0,0,100.8,118.15,1,1,1,1,1,2023-08-23,38,1,65
